transition,ensemble_size,n_splits,overlap_mean,overlap_std,overlap_ci_low,overlap_ci_high
mingqing_to_late_qing,1,200,0.47840000000000005,0.04589596932193502,0.39,0.57
mingqing_to_late_qing,3,200,0.6708500000000001,0.03437699085144014,0.61,0.7402500000000001
mingqing_to_late_qing,5,200,0.7475499999999999,0.03043842144395798,0.69,0.81
mingqing_to_late_qing,10,200,0.8190500000000001,0.027415278586948536,0.76975,0.87
mingqing_to_late_qing,20,200,0.8752500000000001,0.020638253317565438,0.84,0.91
late_qing_to_republican,1,200,0.47155,0.04647684907564196,0.38,0.5602500000000001
late_qing_to_republican,3,200,0.6638,0.03575695736496604,0.59,0.73
late_qing_to_republican,5,200,0.7288,0.029842251925751188,0.6697500000000001,0.79
late_qing_to_republican,10,200,0.80365,0.026366218917395025,0.74975,0.8502500000000001
late_qing_to_republican,20,200,0.8577999999999999,0.019878631743658833,0.82,0.89
republican_to_socialist,1,200,0.44715000000000005,0.05320129227753777,0.33975000000000005,0.5502500000000001
republican_to_socialist,3,200,0.64755,0.04185089604775506,0.56,0.7202500000000001
republican_to_socialist,5,200,0.7263000000000001,0.03306523854442911,0.66,0.78
republican_to_socialist,10,200,0.8067500000000001,0.0254153005097323,0.76,0.85
republican_to_socialist,20,200,0.85955,0.020839805661281983,0.82,0.8902500000000001
socialist_to_contemporary,1,200,0.38370000000000004,0.04273534836642846,0.3,0.4502500000000001
socialist_to_contemporary,3,200,0.6023499999999999,0.03552432265364113,0.53,0.67
socialist_to_contemporary,5,200,0.6809499999999999,0.030799310057207433,0.62,0.7402500000000001
socialist_to_contemporary,10,200,0.7713500000000001,0.028243185018690806,0.71975,0.82
socialist_to_contemporary,20,200,0.82895,0.02563976403947585,0.77,0.88
